sample_id,image_path,split,h2s_concentration_ppm,lighting_type,preprocessing_method,rgb_r_mean,rgb_g_mean,rgb_b_mean,rgb_r_std,rgb_g_std,rgb_b_std,hsv_h_mean,hsv_s_mean,hsv_v_mean,hsv_h_std,hsv_s_std,hsv_v_std,lab_l_mean,lab_a_mean,lab_b_mean,lab_l_std,lab_a_std,lab_b_std,norm_r,norm_g,norm_b,norm_lab_l,norm_lab_a,norm_lab_b,delta_e,ref_patch_delta_e,brightness_mean,brightness_std,blur_score,temperature_c,humidity_pct,exposure_duration_min
H2S-2026-0082,images/test/H2S-2026-0082_50ppm_dim_indoor.png,test,50.0,dim_indoor,card_warp,147.99839098954143,133.3020246714937,109.69120407615983,53.73014295868992,41.45747463276524,25.02376141636726,21.00167605256101,56.83480825958702,148.28251541968356,14.097477370146633,30.901068541022667,53.45067969222729,56.0705966484207,1.7270716009654064,14.394073478144275,16.556908337722888,2.3825298903549097,11.612669460040827,0.7048639321836525,0.6430025321461504,0.5725891237970435,0.6820938452807014,3.3599692044512506,6.104857791869772,36.1121936821349,43.455333740558295,134.75770984178064,43.222842998074086,1499.3599695031246,21.0,52.0,15.0
H2S-2026-0083,images/train/H2S-2026-0083_50ppm_dim_indoor.png,train,50.0,dim_indoor,card_warp,170.3946098149638,147.24758648431214,118.68376240278896,55.07735565884147,40.68761412381683,20.298561462063137,17.38877715205149,67.847747385358,170.59030571198713,13.384359859574262,31.38479428058466,54.79519350553505,62.12063371875969,4.4775408956824885,17.729082864038617,16.39945503895235,2.448168466735095,12.169090659871527,0.9452452245779362,0.8477298794010065,0.7482830374239428,0.8897738762411117,3.7561356669243304,8.575488092796775,30.912818928325112,50.36395317292423,151.12302225797802,42.50471970240713,213.51719317999337,20.5,56.1,15.0
H2S-2026-0084,images/test/H2S-2026-0084_50ppm_dim_indoor.png,test,50.0,dim_indoor,card_warp,158.9953740949316,139.13254223652453,115.13468758380263,54.371706125319484,40.63429357278035,22.231057684251994,17.692477876106196,60.824148565299005,159.27869401984447,14.912254297701095,31.5474882666587,54.00971555587941,58.66715042144506,3.968557253955484,14.912577098417806,16.528939245408083,2.310826788106428,11.947559055013908,0.8277862412682816,0.7404828988453015,0.6612651332271667,0.7838627661381937,4.25722827792062,7.193622850051803,33.82674278683409,47.901452318650755,142.13569321533924,42.692421934692135,728.3073027493339,21.9,44.7,15.0
H2S-2026-0085,images/train/H2S-2026-0085_75ppm_daylight.png,train,75.0,daylight,card_warp,99.31161169214266,108.19502547599893,107.38046393134888,17.20206997352426,14.318887845587618,16.214516857786112,74.18724859211585,49.19898096004291,114.28881737731295,35.23236471831525,7.377394318923767,14.191030367906503,44.97725826721141,-2.842518101367659,-0.7184231697506034,5.863362154880086,0.7111284048703893,8.272273123853141,0.48441728431169234,0.5194535934895971,0.5130707959744455,0.5458176208323051,-2.1695878181432557,0.33359208079405267,48.74721941759606,32.36156731343069,105.70823277017968,14.107183250704619,519.3864306784661,21.3,55.9,15.0
H2S-2026-0087,images/train/H2S-2026-0087_75ppm_daylight.png,train,75.0,daylight,card_warp,103.90533655135425,109.03975596674712,106.06838294448914,16.224818216149313,12.016507330555173,13.758266852007019,66.42645481362295,47.94086886564763,115.76816840976133,38.77892377307441,5.581257221822925,11.190536140526401,45.47810220897155,-1.974792169482435,1.13710109949048,5.0715029964117955,0.6428705202038828,8.601104051174941,0.5558871847937211,0.5775465786052062,0.5684764348225739,0.6059838056302782,-1.3555111237308006,0.06329935657109398,47.78325822267956,36.55465373939651,107.05919817645481,12.105935836988648,215.35899594985872,22.5,35.5,15.0
H2S-2026-0088,images/test/H2S-2026-0088_75ppm_LED.png,test,75.0,LED,card_warp,82.14414052024671,106.28854920890319,130.64883346741755,13.877374743040454,13.887047904585124,18.609313690388767,102.81409224993295,91.92075623491553,130.64883346741755,5.431041394934297,33.20456995152422,18.609313690388767,44.07261054059597,-2.1897961920085813,-16.442544918208636,5.345281314513167,2.7701538123423477,9.313502861189292,0.4490174123766059,0.5086060305523278,0.5983124973402674,0.540529812642179,3.8826438951373823,-8.372011149145461,55.74431483834228,36.964657763535996,101.95132743362832,13.108932243577065,257.7713864306785,20.9,54.5,15.0
H2S-2026-0089,images/train/H2S-2026-0089_75ppm_LED.png,train,75.0,LED,card_warp,87.34379190131402,110.8987664253151,129.2641458836149,11.813761727429481,9.246813636948646,14.742860027029074,100.18403057119872,79.68845534995978,129.26689460981495,6.4677026057677125,35.534662023855915,14.741916922345373,45.63119482172059,-3.7491954947707162,-12.948511665325825,3.642549685191266,2.718547928391306,9.855249144687972,0.5671484240895782,0.6373073388637293,0.6995025438751393,0.6657985985574667,-0.33307349041341094,-4.5991107938661315,52.72620225129625,44.39573178794065,105.87013944757308,8.70503602479299,22.88691108394189,22.7,41.3,15.0
H2S-2026-0090,images/validation/H2S-2026-0090_75ppm_LED.png,validation,75.0,LED,card_warp,83.91693483507643,107.45762939125771,128.43952802359883,12.835416908294876,11.71484579835826,16.574644969894685,101.6092115848753,85.34566908018236,128.43993027621346,5.826472391263899,34.397996445157915,16.574476547684426,44.29045793699619,-2.723652453740949,-14.484848484848484,4.555306445227957,2.9296170228657994,9.555407768862024,0.5147787974707366,0.5698792823869127,0.6492908598464088,0.6013920187281232,3.0990599645597046,-6.604946524064175,54.595041724576035,41.393650864635376,103.02413515687851,10.958316250615628,293.1510419329743,21.8,54.9,15.0
H2S-2026-0091,images/holdout/H2S-2026-0091_75ppm_fluorescent.png,holdout,75.0,fluorescent,card_warp,75.7953875033521,107.02956556717619,140.32166800750872,14.725998199533414,15.807800675213182,19.146565012815962,104.15017430946635,115.63334674175383,140.32166800750872,3.884784850557834,28.19812172837714,19.146565012815962,44.23406369788462,-1.3657817109144543,-21.48136229552159,5.855013784391659,4.325071246064955,9.234213764914587,0.4454335058796841,0.5159039907936673,0.6383994887011897,0.5511665380423304,6.722998245512564,-10.920087785717666,58.332838849500185,39.25419582837108,101.38622955215875,14.751644556882809,844.7093054438187,22.1,52.2,15.0
H2S-2026-0092,images/holdout/H2S-2026-0092_75ppm_fluorescent.png,holdout,75.0,fluorescent,card_warp,80.49155269509252,109.56784660766962,138.82186913381602,10.383662982532696,9.104545863413865,15.010780309341131,103.80738803968893,104.2724591043175,138.82186913381602,4.078290096329028,29.42949623203848,15.010780309341131,45.24245579164892,-2.277420219898096,-19.152051488334674,3.399355282682303,4.06489028226377,9.676446908881417,0.5492609028874545,0.6239793245252888,0.7366194281931574,0.6579693639658488,3.597307448947214,-8.947530791166923,56.199199769622744,45.556801065624896,104.08118798605524,8.169590060283095,20.390795961631138,23.9,35.9,15.0
